species,location,time,description,sex,feather_color,time_parsed,year,month,hour,description_length,color_count
Scarlet Tanager,United States,05-06-2015 11:10,A medium-sized songbird with a bright red plumage,Male,Red,2015-06-05 11:10:00,2015,6,11,49,1
American White Pelican,United States,08-08-2002 13:30,"A large waterbird with a white plumage, a distinctive pouched bill, and a wingspan",Unknown,White,2002-08-08 13:30:00,2002,8,13,82,1
Greater Painted-Snipe,Australia,27-05-2011 15:55,A small wading bird with a brownish plumage and a distinctive paint-like pattern,Male,Brownish,2011-05-27 15:55:00,2011,5,15,80,1
Ferruginous Hawk,United States,01-07-2003 09:55,"A large hawk with a rusty-brown plumage, a white underbody, and a broad wingspan",Unknown,Rusty-brown and White,2003-07-01 09:55:00,2003,7,9,80,2
Chestnut Munia,India,18-10-2010 12:40,A small finch with a brown plumage and a distinctive chestnut crown,Male,Brown and Chestnut,2010-10-18 12:40:00,2010,10,12,67,2
Harlequin Duck,Canada,26-12-2002 14:35,"A small diving duck with a colorful plumage, including blue, white, and chestnut",Male,"Blue, White, and Chestnut",2002-12-26 14:35:00,2002,12,14,80,3
Snowy-crowned Tern,United States,06-07-2011 16:55,A small tern with a white plumage and a distinctive black cap,Unknown,White and Black,2011-07-06 16:55:00,2011,7,16,61,2
Blue-footed Booby,Galapagos Islands,02-05-2010 09:25,"A large seabird with a brownish plumage, a distinctive blue feet, and a courtship dance",Unknown,Brownish and Blue,2010-05-02 09:25:00,2010,5,9,87,2
Scaled Quail,United States,13-08-2003 11:40,A small quail with a mottled brown plumage and distinctive scaly pattern,Unknown,Brown and Scaly,2003-08-13 11:40:00,2003,8,11,72,2
Red-tailed Tropicbird,Galapagos Islands,21-10-2010 14:50,"A medium-sized seabird with a white plumage, a red tail, and a long, slender bill",Unknown,White and Red,2010-10-21 14:50:00,2010,10,14,81,2
Gray-crowned Rosy-Finch,United States,04-11-2002 16:15,A small finch with a grayish-brown plumage and a distinctive rosy-colored crown,Unknown,Grayish-brown and Rosy,2002-11-04 16:15:00,2002,11,16,79,2
Yellow-rumped Warbler,United States,09-04-2010 09:55,"A small warbler with a grayish plumage, a yellow rump patch, and a distinctive ""chek"" call,Unknown,Grayish and Yellow",Unknown,Grayish and Yellow,2010-04-09 09:55:00,2010,4,9,117,2
Black Guillemot,United Kingdom,16-06-2003 12:30,"A medium-sized seabird with a black plumage, a white wing patch, and bright red feet",Unknown,"Black, White, and Red",2003-06-16 12:30:00,2003,6,12,84,3
Olive-sided Flycatcher,United States,10-08-2011 14:55,"A small songbird with a grayish-brown plumage and a distinctive ""quick-three-beers"" call,Unknown,Grayish-brown",Unknown,Grayish-brown,2011-08-10 14:55:00,2011,8,14,110,1
Lilac-breasted Roller,Africa,14-09-2002 16:30,"A medium-sized bird with a colorful plumage, including blue, green, and lilac",Unknown,"Blue, Green, and Lilac",2002-09-14 16:30:00,2002,9,16,77,3
Eastern Screech-Owl,United States,06-04-2010 09:45,"A small owl with a mottled gray plumage, a distinctive ear tufts, and a haunting trilling call",Unknown,Gray,2010-04-06 09:45:00,2010,4,9,94,1
Northern Gannet,United Kingdom,23-07-2003 11:10,"A large seabird with a white plumage, a yellow head, and a distinctive plunge-diving behavior",Unknown,White and Yellow,2003-07-23 11:10:00,2003,7,11,93,2
White Wagtail,United Kingdom,18-04-2015 13:30,"A small bird with a gray plumage, a white underbody, and a distinctive wagging tail",Unknown,Gray and White,2015-04-18 13:30:00,2015,4,13,83,2
Bewick's Wren,United States,22-06-2002 15:50,A small wren with a brownish plumage and a distinctive song,Unknown,Brownish,2002-06-22 15:50:00,2002,6,15,59,1
White-winged Dove,United States,27-09-2011 09:25,A medium-sized dove with a brownish-gray plumage and distinctive white wing patches,Unknown,Brownish-gray and White,2011-09-27 09:25:00,2011,9,9,83,2
American Avocet,United States,20-05-2003 12:40,"A medium-sized wading bird with a black-and-white plumage, a distinctive upturned bill, and long, slender legs",Unknown,Black and White,2003-05-20 12:40:00,2003,5,12,110,2
Purple Gallinule,United States,29-08-2010 14:35,"A medium-sized waterbird with a colorful plumage, including purple, green, and blue",Unknown,"Purple, Green, and Blue",2010-08-29 14:35:00,2010,8,14,83,3
Chestnut-eared Aracari,South America,10-09-2002 16:55,"A medium-sized bird with a black plumage, a distinctive chestnut ear patch, and a colorful bill",Unknown,"Black, Chestnut, and Colorful",2002-09-10 16:55:00,2002,9,16,95,3
Northern Flicker,United States,03-06-2011 09:55,"A medium-sized woodpecker with a brownish-plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick-a"" call,Unknown,Brownish and Black",Unknown,Brownish and Black,2011-06-03 09:55:00,2011,6,9,159,2
Mountain Plover,United States,17-09-2003 12:30,A medium-sized plover with a mottled brown plumage and a distinctive white underbody,Unknown,Brown and White,2003-09-17 12:30:00,2003,9,12,84,2
Horned Lark,United States,16-06-2010 14:50,"A small songbird with a brownish plumage, a distinctive black mask, and a horn-like projection on its head",Unknown,Brown and Black,2010-06-16 14:50:00,2010,6,14,106,2
Common Merganser,United States,08-08-2002 16:15,"A large diving duck with a black-and-white plumage, a slender bill, and a crested head",Male,Black and White,2002-08-08 16:15:00,2002,8,16,86,2
Red-legged Seriema,South America,24-10-2010 09:55,"A large terrestrial bird with a grayish-brown plumage, long legs, and a distinctive red bill",Unknown,Grayish-brown and Red,2010-10-24 09:55:00,2010,10,9,92,2
European Starling,United Kingdom,27-12-2003 11:40,"A medium-sized bird with a black plumage, a speckled appearance, and a melodious song",Unknown,Black and Speckled,2003-12-27 11:40:00,2003,12,11,85,2
Black-throated Sparrow,United States,01-08-2011 13:55,A small sparrow with a grayish-brown plumage and a black throat,Male,Grayish-brown and Black,2011-08-01 13:55:00,2011,8,13,63,2
Red-shouldered Hawk,United States,26-06-2002 16:15,"A medium-sized hawk with a brown plumage, a distinctive reddish-brown shoulder patch, and a piercing call",Unknown,Brown and Reddish-brown,2002-06-26 16:15:00,2002,6,16,105,2
Greater Sage-Grouse,United States,17-09-2010 09:55,"A large grouse with a mottled grayish-brown plumage, a distinctive chest, and a booming display during courtship",Unknown,Grayish-brown and Chest,2010-09-17 09:55:00,2010,9,9,112,2
Reddish Egret,United States,14-07-2003 12:10,"A medium-sized heron with a grayish plumage, a rusty-red head, and a distinctive dancing behavior",Unknown,Grayish and Rusty-red,2003-07-14 12:10:00,2003,7,12,97,2
Wood Duck,United States,11-05-2015 14:35,"A medium-sized duck with a colorful plumage, including iridescent green, purple, and white",Male,"Green, Purple, and White",2015-05-11 14:35:00,2015,5,14,90,3
Barn Owl,United Kingdom,10-10-2002 16:55,"A medium-sized owl with a pale plumage, a heart-shaped face, and a silent flight",Unknown,Pale,2002-10-10 16:55:00,2002,10,16,80,1
Yellow-throated Warbler,United States,19-06-2010 09:25,"A small warbler with a grayish plumage, a yellow throat, and a distinctive song",Unknown,Grayish and Yellow,2010-06-19 09:25:00,2010,6,9,79,2
Gilded Flicker,United States,14-05-2003 11:10,"A medium-sized woodpecker with a yellowish-brown plumage, a black crescent on its chest, and a distinctive ""wick-a-wick-a-wick-a"" call,Unknown,Yellowish-brown and Black",Unknown,Yellowish-brown and Black,2003-05-14 11:10:00,2003,5,11,168,2
Mallard,United States,22-07-2011 13:30,"A medium-sized duck with a colorful plumage, including iridescent green, blue, and white",Male,"Green, Blue, and White",2011-07-22 13:30:00,2011,7,13,88,3
Masked Booby,Galapagos Islands,29-08-2002 15:50,"A large seabird with a white plumage, a black mask, and a distinctive plunge-diving behavior",Unknown,White and Black,2002-08-29 15:50:00,2002,8,15,92,2
Common Loon,United States,10-11-2010 09:55,"A large diving bird with a black-and-white plumage, a distinctive necklace-like pattern on its neck, and a haunting call",Unknown,Black and White,2010-11-10 09:55:00,2010,11,9,120,2
Yellow-headed Blackbird,United States,26-04-2003 12:30,"A medium-sized blackbird with a black plumage, a bright yellow head, and a distinctive ""konk-la-ree"" call,Unknown,Black and Yellow",Unknown,Black and Yellow,2003-04-26 12:30:00,2003,4,12,130,2
Collared Pratincole,Europe,09-07-2011 14:55,"A medium-sized wading bird with a brown plumage, a distinctive black collar, and a graceful flight",Unknown,Brown and Black,2011-07-09 14:55:00,2011,7,14,98,2
Yellow-chevroned Parakeet,Australia,22-06-2002 09:55,A medium-sized parakeet with a green plumage and distinctive yellow chevrons,Male,Green and Yellow,2002-06-22 09:55:00,2002,6,9,76,2
Red-crowned Crane,Japan,15-08-2005 09:55,"A large crane with a white plumage, a distinctive red crown, and a graceful dance display",Unknown,White and Red,2005-08-15 09:55:00,2005,8,9,89,2
Black Skimmer,United States,10-06-2001 12:40,"A medium-sized bird with a black-and-white plumage, a distinctive orange bill, and a unique feeding behavior",Unknown,"Black, White, and Orange",2001-06-10 12:40:00,2001,6,12,108,3
Red-billed Oxpecker,Africa,22-05-2012 14:10,"A small bird with a brown plumage, a red bill, and a symbiotic relationship with large mammals",Unknown,Brown and Red,2012-05-22 14:10:00,2012,5,14,94,2
Golden-crowned Kinglet,United States,05-09-2004 16:15,"A small bird with a grayish-green plumage, a distinctive golden crown, and a high-pitched song",Unknown,Grayish-green and Golden,2004-09-05 16:15:00,2004,9,16,94,2
Wandering Albatross,Southern Ocean,30-11-2003 09:45,"A large seabird with a white plumage, a long wingspan, and a graceful flight",Unknown,White,2003-11-30 09:45:00,2003,11,9,76,1
Yellow-billed Cuckoo,United States,17-06-2019 11:40,"A medium-sized bird with a brownish plumage, a distinctive yellow bill, and a distinctive ""coo-coo-coo"" call,Unknown,Brownish and Yellow",Unknown,Brownish and Yellow,2019-06-17 11:40:00,2019,6,11,136,2
Crested Caracara,United States,23-08-2002 13:55,"A medium-sized bird of prey with a black-and-white plumage, a distinctive crest, and a scavenging behavior",Unknown,Black and White,2002-08-23 13:55:00,2002,8,13,106,2
White-crowned Pigeon,United States,15-04-2004 09:55,"A medium-sized pigeon with a gray plumage, a white crown, and a distinctive ""coo-woo"" call,Unknown,Gray and White",Unknown,Gray and White,2004-04-15 09:55:00,2004,4,9,113,2
Little Egret,United Kingdom,12-08-2011 12:10,"A small heron with a white plumage, a black bill, and a distinctive ""chattering"" call,Unknown,White and Black",Unknown,White and Black,2011-08-12 12:10:00,2011,8,12,109,2
Baltimore Oriole,United States,28-05-2003 14:35,A medium-sized songbird with a black-and-orange plumage,Male,Black and Orange,2003-05-28 14:35:00,2003,5,14,55,2
American Crow,United States,05-09-2010 16:55,A medium-sized bird with a black plumage and a distinctive cawing call,Unknown,Black,2010-09-05 16:55:00,2010,9,16,70,1
Black-headed Gull,United Kingdom,30-07-2002 09:25,"A small gull with a black head, a white body, and a red bill",Unknown,"Black, White, and Red",2002-07-30 09:25:00,2002,7,9,60,3
Great Kiskadee,Central America,15-05-2011 11:40,"A medium-sized bird with a brownish plumage, a yellow belly, and a distinctive ""kis-ka-dee"" call,Unknown,Brownish and Yellow",Unknown,Brownish and Yellow,2011-05-15 11:40:00,2011,5,11,124,2
Alder Flycatcher,United States,18-04-2004 13:30,"A small songbird with a brownish plumage and a distinctive ""fee-bee-o"" call,Unknown,Brownish",Unknown,Brownish,2004-04-18 13:30:00,2004,4,13,92,1
Northern Saw-whet Owl,United States,20-07-2010 16:55,"A small owl with a brownish plumage, a rounded head, and a distinctive ""toot-toot-toot"" call,Unknown,Brownish",Unknown,Brownish,2010-07-20 16:55:00,2010,7,16,109,1
Black-throated Diver,United Kingdom,22-06-2003 09:55,"A medium-sized diving bird with a black-and-white plumage and a distinctive ""woo-woo-woo"" call,Unknown,Black and White",Unknown,Black and White,2003-06-22 09:55:00,2003,6,9,118,2
Red-legged Partridge,United Kingdom,28-08-2011 12:30,"A medium-sized gamebird with a brown plumage, a red bill, and a distinctive ""chuk-chuk-chuk"" call,Unknown,Brown and Red",Unknown,Brown and Red,2011-08-28 12:30:00,2011,8,12,119,2
Black-footed Albatross,Pacific Ocean,16-06-2002 14:50,A large seabird with a black-and-white plumage and a distinctive hooked bill,Unknown,Black and White,2002-06-16 14:50:00,2002,6,14,76,2
Yellow-billed Loon,United States,28-04-2010 16:15,A large diving bird with a black-and-white plumage and a distinctive yellow bill,Unknown,"Black, White, and Yellow",2010-04-28 16:15:00,2010,4,16,80,3
Mountain Quail,United States,05-08-2003 09:55,A medium-sized quail with a mottled brown plumage and a distinctive topknot,Unknown,Brown,2003-08-05 09:55:00,2003,8,9,75,1
Yellow-headed Amazon,South America,10-07-2011 12:40,"A medium-sized parrot with a green plumage, a yellow head, and a distinctive squawking call",Unknown,Green and Yellow,2011-07-10 12:40:00,2011,7,12,91,2
Lesser Black-backed Gull,United Kingdom,22-05-2004 14:35,"A medium-sized gull with a grayish-black plumage, a white head, and a yellow bill",Unknown,"Grayish-black, White, and Yellow",2004-05-22 14:35:00,2004,5,14,81,3
Broad-winged Hawk,United States,16-09-2010 16:55,"A medium-sized hawk with a brown plumage, a distinctive white belly band, and a high-pitched whistle call",Unknown,Brown and White,2010-09-16 16:55:00,2010,9,16,105,2
Common Raven,United States,25-08-2002 09:25,A large bird with a black plumage and a distinctive croaking call,Unknown,Black,2002-08-25 09:25:00,2002,8,9,65,1
Snowy Owl,Canada,01-06-2011 11:40,"A large owl with a white plumage, a rounded head, and a distinctive ""hoo-hoo"" call,Unknown,White",Unknown,White,2011-06-01 11:40:00,2011,6,11,96,1
White-breasted Nuthatch,United States,10-08-2003 13:30,"A small songbird with a grayish-blue plumage, a white underbody, and a distinctive nasal call",Unknown,Grayish-blue and White,2003-08-10 13:30:00,2003,8,13,93,2
American Redstart,United States,17-07-2010 16:55,A small warbler with a black-and-orange plumage,Male,Black and Orange,2010-07-17 16:55:00,2010,7,16,47,2
Swainson's Hawk,United States,25-06-2002 09:55,"A medium-sized hawk with a brown plumage, a distinctive white throat, and a graceful soaring flight",Unknown,Brown and White,2002-06-25 09:55:00,2002,6,9,99,2
Barn Swallow,United States,04-09-2011 12:30,"A medium-sized bird with a blue plumage, a rusty-red underbody, and a distinctive forked tail",Unknown,Blue and Rusty-red,2011-09-04 12:30:00,2011,9,12,93,2
Cinnamon Teal,United States,16-05-2004 14:50,"A small duck with a colorful plumage, including cinnamon-brown, blue, and black",Male,"Cinnamon-brown, Blue, and Black",2004-05-16 14:50:00,2004,5,14,79,3
Ring-billed Gull,United States,14-04-2010 16:15,"A medium-sized gull with a white plumage, a black ring around its bill, and a distinctive ""kow-kow"" call,Unknown,White and Black",Unknown,White and Black,2010-04-14 16:15:00,2010,4,16,128,2
Western Meadowlark,United States,22-06-2002 09:55,A medium-sized blackbird with a yellow plumage and a distinctive flute-like song,Male,Yellow,2002-06-22 09:55:00,2002,6,9,80,1
Eastern Bluebird,United States,20-08-2011 12:40,A small thrush with a blue plumage,Male,Blue,2011-08-20 12:40:00,2011,8,12,34,1
Boreal Owl,United States,28-04-2004 14:35,"A small owl with a mottled brown plumage and a distinctive ""toot-toot-toot"" call,Unknown,Brown",Unknown,Brown,2004-04-28 14:35:00,2004,4,14,94,1
Cattle Egret,United States,07-07-2010 16:55,"A medium-sized heron with a white plumage, a yellow bill, and a distinctive association with cattle",Unknown,White and Yellow,2010-07-07 16:55:00,2010,7,16,99,2
Scarlet Ibis,South America,12-08-2003 09:55,"A medium-sized wading bird with a bright red plumage, a long curved bill, and a distinctive honking call",Unknown,Red,2003-08-12 09:55:00,2003,8,9,104,1
Black-tailed Gull,Japan,01-05-2011 11:40,"A medium-sized gull with a white plumage, a black tail, and a distinctive ""kee-ow"" call,Unknown,White and Black",Unknown,White and Black,2011-05-01 11:40:00,2011,5,11,111,2
Rufous-tailed Hummingbird,Costa Rica,30-07-2002 13:30,A small hummingbird with a greenish-brown plumage and a distinctive reddish-brown tail,Male,Greenish-brown and Reddish-brown,2002-07-30 13:30:00,2002,7,13,86,2
Mountain Bluebird,United States,11-09-2010 16:55,A small thrush with a blue plumage,Male,Blue,2010-09-11 16:55:00,2010,9,16,34,1
Bullock's Oriole,United States,05-08-2003 09:25,A medium-sized songbird with a black-and-orange plumage,Male,Black and Orange,2003-08-05 09:25:00,2003,8,9,55,2
Black-bellied Plover,United States,11-06-2011 12:40,A medium-sized plover with a black-and-white plumage and a distinctive black belly patch,Unknown,Black and White,2011-06-11 12:40:00,2011,6,12,88,2
European Goldfinch,Europe,16-04-2004 14:35,"A small finch with a colorful plumage, including yellow, black, and red",Male,"Yellow, Black, and Red",2004-04-16 14:35:00,2004,4,14,71,3
Wood Stork,United States,18-06-2010 16:55,"A large wading bird with a white plumage, a bald black head, and a distinctive bill shape",Unknown,White and Black,2010-06-18 16:55:00,2010,6,16,89,2
Western Tanager,United States,30-08-2002 09:25,"A medium-sized songbird with a colorful plumage, including red, yellow, and black",Male,"Red, Yellow, and Black",2002-08-30 09:25:00,2002,8,9,81,3
Blue Jay,United States,22-09-2011 11:40,"A medium-sized bird with a blue plumage, a distinctive crest, and a loud, varied song",Unknown,Blue,2011-09-22 11:40:00,2011,9,11,85,1
White-faced Ibis,United States,16-06-2003 13:30,"A medium-sized wading bird with a dark plumage, a white face, and a distinctive curved bill",Unknown,Dark and White,2003-06-16 13:30:00,2003,6,13,91,2
Hooded Warbler,United States,08-08-2010 16:55,A small warbler with a black-and-yellow plumage,Male,Black and Yellow,2010-08-08 16:55:00,2010,8,16,47,2
Clark's Grebe,United States,22-05-2002 09:55,"A medium-sized waterbird with a black-and-white plumage, a distinctive yellow bill, and a courtship dance display",Unknown,"Black, White, and Yellow",2002-05-22 09:55:00,2002,5,9,113,3
Magnificent Frigatebird,United States,12-07-2011 12:40,"A large seabird with a black plumage, a distinctive forked tail, and a balloon-like throat pouch",Unknown,Black,2011-07-12 12:40:00,2011,7,12,96,1
Black Vulture,United States,24-08-2004 14:35,"A large bird of prey with a black plumage, a bald head, and a scavenging behavior",Unknown,Black,2004-08-24 14:35:00,2004,8,14,81,1
Chestnut-sided Warbler,United States,20-10-2010 16:55,A small warbler with a yellow plumage and distinctive chestnut streaks,Male,Yellow and Chestnut,2010-10-20 16:55:00,2010,10,16,70,2
Gray Catbird,United States,25-07-2002 09:25,A medium-sized songbird with a gray plumage and a distinctive cat-like call,Unknown,Gray,2002-07-25 09:25:00,2002,7,9,75,1
Roseate Spoonbill,United States,03-06-2011 11:40,"A large wading bird with a pink plumage, a distinctive spoon-shaped bill, and a graceful flight",Unknown,Pink,2011-06-03 11:40:00,2011,6,11,95,1
Palm Warbler,United States,20-08-2003 13:30,"A small warbler with a brownish plumage, a yellow underbody, and a distinctive tail-wagging behavior",Unknown,Brownish and Yellow,2003-08-20 13:30:00,2003,8,13,100,2
Yellow-crowned Night Heron,United States,21-09-2010 16:55,"A medium-sized heron with a gray plumage, a distinctive yellow crown, and a crepuscular behavior",Unknown,Gray and Yellow,2010-09-21 16:55:00,2010,9,16,96,2
Red Knot,United States,30-05-2002 09:55,"A medium-sized sandpiper with a reddish-brown plumage and a distinctive ""krrooo"" call,Unknown,Reddish-brown",Unknown,Reddish-brown,2002-05-30 09:55:00,2002,5,9,107,1
Rufous Hummingbird,United States,10-07-2011 12:40,A small hummingbird with a greenish-brown plumage and a distinctive reddish-orange throat,Male,Greenish-brown and Reddish-orange,2011-07-10 12:40:00,2011,7,12,89,2
Least Tern,United States,28-04-2004 14:35,"A small tern with a white plumage, a distinctive black cap, and a swift, hovering flight",Unknown,White and Black,2004-04-28 14:35:00,2004,4,14,88,2
European Robin,United Kingdom,16-06-2010 16:55,A small bird with a grayish-brown plumage and a distinctive red breast,Male,Grayish-brown and Red,2010-06-16 16:55:00,2010,6,16,70,2
American White Ibis,United States,10-08-2002 09:55,"A medium-sized wading bird with a white plumage, a distinctive curved bill, and a graceful flight",Unknown,White,2002-08-10 09:55:00,2002,8,9,97,1
Cerulean Warbler,United States,03-09-2011 12:10,A small warbler with a blue plumage,Male,Blue,2011-09-03 12:10:00,2011,9,12,35,1
Boreal Chickadee,United States,16-05-2003 13:30,"A small songbird with a gray plumage, a distinctive black cap, and a buzzy ""dee-dee-dee"" call,Unknown,Gray and Black",Unknown,Gray and Black,2003-05-16 13:30:00,2003,5,13,116,2
Black-capped Petrel,Atlantic Ocean,20-07-2010 16:55,"A medium-sized seabird with a black plumage, a distinctive white cap, and a critically endangered status",Unknown,Black and White,2010-07-20 16:55:00,2010,7,16,104,2
Western Grebe,United States,22-06-2002 09:55,"A medium-sized waterbird with a black-and-white plumage, a distinctive red eye, and a courtship dance display",Unknown,"Black, White, and Red",2002-06-22 09:55:00,2002,6,9,109,3
Solitary Sandpiper,United States,01-08-2011 12:30,A small sandpiper with a mottled brown plumage and a distinctive solitary behavior,Unknown,Brown,2011-08-01 12:30:00,2011,8,12,82,1
Elegant Tern,United States,12-06-2003 14:35,"A medium-sized tern with a white plumage, a black cap, and a distinctive ""keer"" call,Unknown,White and Black",Unknown,White and Black,2003-06-12 14:35:00,2003,6,14,108,2
Lark Sparrow,United States,11-09-2010 16:55,"A medium-sized sparrow with a colorful plumage, including brown, black, and white",Male,"Brown, Black, and White",2010-09-11 16:55:00,2010,9,16,81,3
Yellow-breasted Chat,United States,16-06-2002 09:55,A medium-sized songbird with a yellow plumage and a distinctive varied song,Male,Yellow,2002-06-16 09:55:00,2002,6,9,75,1
Bridled Tern,Pacific Ocean,01-05-2011 12:40,"A medium-sized tern with a white plumage, a distinctive black cap and eyeline, and a graceful flight",Unknown,White and Black,2011-05-01 12:40:00,2011,5,12,100,2
Ruby-throated Hummingbird,United States,30-04-2004 14:35,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,2004-04-30 14:35:00,2004,4,14,71,2
Veery,United States,23-08-2010 16:55,"A medium-sized thrush with a brownish plumage and a melodious, flute-like song",Unknown,Brownish,2010-08-23 16:55:00,2010,8,16,78,1
King Eider,United States,23-05-2002 09:25,"A large diving duck with a colorful plumage, including black, white, and orange",Male,"Black, White, and Orange",2002-05-23 09:25:00,2002,5,9,79,3
Glaucous-winged Gull,United States,06-09-2011 11:40,"A large gull with a white plumage, a distinctive gray wing, and a raucous ""kraa"" call,Unknown,White and Gray",Unknown,White and Gray,2011-09-06 11:40:00,2011,9,11,108,2
Purple Martin,United States,14-07-2003 13:30,A medium-sized bird with a purple-blue plumage,Male,Purple-blue,2003-07-14 13:30:00,2003,7,13,46,1
Western Kingbird,United States,18-05-2010 16:55,"A medium-sized bird with a grayish plumage, a distinctive yellow belly, and a habit of perching on fences",Unknown,Grayish and Yellow,2010-05-18 16:55:00,2010,5,16,105,2
Bar-tailed Godwit,United States,19-06-2002 09:55,"A large wading bird with a mottled brown plumage, a distinctive long bill, and a long-distance migratory behavior",Unknown,Brown,2002-06-19 09:55:00,2002,6,9,113,1
Northern Shoveler,United States,25-08-2011 12:10,"A medium-sized duck with a colorful plumage, including green, white, and rusty-brown",Male,"Green, White, and Rusty-brown",2011-08-25 12:10:00,2011,8,12,84,3
Lark Bunting,United States,18-04-2004 14:35,A medium-sized bunting with a black-and-white plumage,Male,Black and White,2004-04-18 14:35:00,2004,4,14,53,2
Dunlin,United States,24-07-2010 16:55,"A small sandpiper with a mottled brown plumage and a distinctive ""krrrr"" call,Unknown,Brown",Unknown,Brown,2010-07-24 16:55:00,2010,7,16,91,1
Carolina Chickadee,United States,06-08-2002 09:55,A small songbird with a gray plumage and a distinctive black cap,Unknown,Gray and Black,2002-08-06 09:55:00,2002,8,9,64,2
Glossy Ibis,United States,02-05-2011 12:40,A medium-sized wading bird with a dark plumage and a distinctive curved bill,Unknown,Dark,2011-05-02 12:40:00,2011,5,12,76,1
Peregrine Falcon,United States,17-08-2003 14:35,"A medium-sized falcon with a dark plumage, a distinctive black ""helmet,"" and a high-speed stoop hunting behavior,Unknown,Dark and Black, and a high-speed stoop hunting behavior",Unknown,Dark and Black,2003-08-17 14:35:00,2003,8,14,176,2
Boat-tailed Grackle,United States,20-10-2010 16:55,"A medium-sized blackbird with a black plumage, a long, keel-shaped tail, and a distinctive ""chak-chak"" call,Unknown,Black",Unknown,Black,2010-10-20 16:55:00,2010,10,16,121,1
Sora,United States,22-06-2002 09:55,"A small rail with a brown plumage and a distinctive ""whinny"" call,Unknown,Brown",Unknown,Brown,2002-06-22 09:55:00,2002,6,9,79,1
Black Guillemot,United States,08-08-2011 12:30,"A small seabird with a black plumage, a white wing patch, and bright red feet",Unknown,"Black, White, and Red",2011-08-08 12:30:00,2011,8,12,77,3
Indigo Bunting,United States,26-04-2004 14:35,"A small finch with a colorful plumage, including deep blue and black",Male,Blue and Black,2004-04-26 14:35:00,2004,4,14,68,2
Red-bellied Woodpecker,United States,30-06-2010 16:55,"A medium-sized woodpecker with a grayish-brown plumage, a red crown, and a distinctive ""churr"" call,Unknown,Grayish-brown and Red",Unknown,Grayish-brown and Red,2010-06-30 16:55:00,2010,6,16,129,2
Semipalmated Plover,United States,11-08-2002 09:55,A small plover with a mottled brown plumage and partially webbed feet,Unknown,Brown,2002-08-11 09:55:00,2002,8,9,69,1
American Coot,United States,04-05-2011 12:30,"A medium-sized waterbird with a dark plumage, a distinctive white bill, and a lobed feet",Unknown,Dark and White,2011-05-04 12:30:00,2011,5,12,88,2
Western Meadowlark,United States,12-07-2010 14:35,A medium-sized blackbird with a yellow plumage and a distinctive flute-like song,Male,Yellow,2010-07-12 14:35:00,2010,7,14,80,1
Hairy Woodpecker,United States,18-08-2003 16:55,"A medium-sized woodpecker with a black-and-white plumage and a larger bill than its close relative, the Downy Woodpecker",Unknown,Black and White,2003-08-18 16:55:00,2003,8,16,120,2
Least Flycatcher,United States,12-06-2011 09:25,"A small songbird with a grayish-brown plumage and a distinctive ""che-bek"" call,Unknown,Grayish-brown",Unknown,Grayish-brown,2011-06-12 09:25:00,2011,6,9,100,1
Western Scrub-Jay,United States,20-05-2002 11:40,"A medium-sized bird with a blue plumage and a distinctive ""ack-ack-ack"" call,Unknown,Blue",Unknown,Blue,2002-05-20 11:40:00,2002,5,11,89,1
Purple Finch,United States,16-07-2010 13:30,"A small finch with a colorful plumage, including purple and pink",Male,Purple and Pink,2010-07-16 13:30:00,2010,7,13,64,2
Least Bittern,United States,21-08-2003 16:55,"A small heron with a brown plumage and a distinctive ""coo-coo-coo"" call,Unknown,Brown",Unknown,Brown,2003-08-21 16:55:00,2003,8,16,85,1
Common Goldeneye,United States,16-04-2011 09:55,A medium-sized diving duck with a black-and-white plumage and a distinctive golden-yellow eye,Male,"Black, White, and Golden-yellow",2011-04-16 09:55:00,2011,4,9,93,3
Gray Jay,United States,16-06-2002 12:40,"A medium-sized bird with a gray plumage and a distinctive ""whisper song,""Unknown,Gray",Unknown,Gray,2002-06-16 12:40:00,2002,6,12,85,1
Northern Waterthrush,United States,24-08-2010 14:35,"A small warbler with a brownish plumage and a distinctive ""chip-chip-chip"" call,Unknown,Brownish",Unknown,Brownish,2010-08-24 14:35:00,2010,8,14,96,1
Red-winged Blackbird,United States,12-06-2003 16:55,A medium-sized blackbird with a black plumage and distinctive red shoulder patches,Male,Black and Red,2003-06-12 16:55:00,2003,6,16,82,2
Black-necked Stilt,United States,04-05-2011 09:25,"A tall wading bird with a black-and-white plumage, long pink legs, and a distinctive ""kleep"" call,Unknown,Black, White, and Pink",Unknown,"Black, White, and Pink",2011-05-04 09:25:00,2011,5,9,128,3
Prothonotary Warbler,United States,11-07-2010 11:40,A small warbler with a yellow plumage,Male,Yellow,2010-07-11 11:40:00,2010,7,11,37,1
American Pipit,United States,18-08-2002 13:30,"A medium-sized songbird with a brownish plumage and a distinctive ""tsip"" call,Unknown,Brownish",Unknown,Brownish,2002-08-18 13:30:00,2002,8,13,94,1
Spotted Sandpiper,United States,19-06-2011 16:55,A small sandpiper with a mottled brown plumage and a distinctive teetering behavior,Unknown,Brown,2011-06-19 16:55:00,2011,6,16,83,1
